"trial_name","trial_number","response","RT","question","picture","option1","option2","QUD","picture1","picture2","participant_ID","key_pressed","foil_Type","correctness","g","h","key1","key2","expected","startDate","startTime","age","gender","education","languages","comments","endTime","timeSpent","experiment_id",
"key_press_first_one_comp_4","7","NA","2335","Is this a fractal?","images/Generated_Pictures/Quad_triangle_4.png","NA","NA","","NA","NA","NA","h","NA","incorrect","fractal","non-fractal","g","h","fractal","Wed Mar 03 2021 19:19:05 GMT+0100 (Central European Standard Time)","1614795545555","24","female","Abitur / High School","German, Danish","","1614796450333","15.079633333333334","1",
"key_press_first_one_comp_4","8","NA","3236","Is this a fractal?","images/Generated_Pictures/Tri_circle_4.png","NA","NA","","NA","NA","NA","h","NA","incorrect","fractal","non-fractal","g","h","fractal","Wed Mar 03 2021 19:19:05 GMT+0100 (Central European Standard Time)","1614795545555","24","female","Abitur / High School","German, Danish","","1614796450333","15.079633333333334","1",
"key_press_first_two_comp_4","2","NA","2356","Is this a fractal?","images/Generated_Pictures/Tri_arrow_4_false_4.png","NA","NA","","NA","NA","NA","h","NA","correct","fractal","non-fractal","g","h","non-fractal","Wed Mar 03 2021 19:19:05 GMT+0100 (Central European Standard Time)","1614795545555","24","female","Abitur / High School","German, Danish","","1614796450333","15.079633333333334","1",
"key_press_first_one_comp_4","9","NA","2085","Is this a fractal?","images/Generated_Pictures/Tri_arrow_4.png","NA","NA","","NA","NA","NA","h","NA","incorrect","fractal","non-fractal","g","h","fractal","Wed Mar 03 2021 19:19:05 GMT+0100 (Central European Standard Time)","1614795545555","24","female","Abitur / High School","German, Danish","","1614796450333","15.079633333333334","1",
"key_press_first_one_comp_4","10","NA","2882","Is this a fractal?","images/Generated_Pictures/Quad_circle_4.png","NA","NA","","NA","NA","NA","h","NA","incorrect","fractal","non-fractal","g","h","fractal","Wed Mar 03 2021 19:19:05 GMT+0100 (Central European Standard Time)","1614795545555","24","female","Abitur / High School","German, Danish","","1614796450333","15.079633333333334","1",
"key_press_first_one_comp_4","11","NA","2489","Is this a fractal?","images/Generated_Pictures/Quad_circle_2.png","NA","NA","","NA","NA","NA","h","NA","incorrect","fractal","non-fractal","g","h","fractal","Wed Mar 03 2021 19:19:05 GMT+0100 (Central European Standard Time)","1614795545555","24","female","Abitur / High School","German, Danish","","1614796450333","15.079633333333334","1",
"key_press_first_one_comp_4","12","NA","1941","Is this a fractal?","images/Generated_Pictures/Tri_circle_4.png","NA","NA","","NA","NA","NA","h","NA","incorrect","fractal","non-fractal","g","h","fractal","Wed Mar 03 2021 19:19:05 GMT+0100 (Central European Standard Time)","1614795545555","24","female","Abitur / High School","German, Danish","","1614796450333","15.079633333333334","1",
"key_press_first_two_comp_4","3","NA","2664","Is this a fractal?","images/Generated_Pictures/Quad_circle_4_iteration_3.png","NA","NA","","NA","NA","NA","h","NA","correct","fractal","non-fractal","g","h","non-fractal","Wed Mar 03 2021 19:19:05 GMT+0100 (Central European Standard Time)","1614795545555","24","female","Abitur / High School","German, Danish","","1614796450333","15.079633333333334","1",
"key_press_first_one_comp_4","13","NA","4890","Is this a fractal?","images/Generated_Pictures/Tri_triangle_4.png","NA","NA","","NA","NA","NA","g","NA","correct","fractal","non-fractal","g","h","fractal","Wed Mar 03 2021 19:19:05 GMT+0100 (Central European Standard Time)","1614795545555","24","female","Abitur / High School","German, Danish","","1614796450333","15.079633333333334","1",
"key_press_first_one_comp_4","14","NA","2785","Is this a fractal?","images/Generated_Pictures/Quad_circle_4.png","NA","NA","","NA","NA","NA","h","NA","incorrect","fractal","non-fractal","g","h","fractal","Wed Mar 03 2021 19:19:05 GMT+0100 (Central European Standard Time)","1614795545555","24","female","Abitur / High School","German, Danish","","1614796450333","15.079633333333334","1",
